Column1,Month,SO? (µg/m³) (M. Avg.),NO? (µg/m³) (M. Avg.),RSPM (µg/m³) (M. Avg.),AQI_SO?,AQI_NO?,AQI_RSPM,AQI,Tourism,,
2008,January,3.9,14.4,NA,2.5,22.625,61.9,61.9,143134,,
2008,February,2.6,11,89,2.5,27.125,68.7,68.7,108603,,
2008,March,2.8,9.1,68,2.5,27.5,57.6,57.6,132531,,
2008,April,5,8.9,62,2.5,30.625,68.7,68.7,198002,,
2008,May,3,8.7,73,2.5,31.375,73.9,73.9,310513,,
2008,June,2.9,11.7,65,2.5,31.125,68.9,68.9,414083,,
2008,July,3.3,12.5,60,2.5,28,51.4,51.4,189874,,
2008,August,2.8,8.7,57,2.5,29.375,41.8,41.8,120994,,
2008,September,2.9,9.6,51.5,2.5,30,46.6,46.6,185733,,
2008,October,2.8,12.4,62,2.5,31.875,53.9,53.9,125669,,
2008,November,3.6,9,46.6,2.5,32.75,63.5,63.5,106850,,
2008,December,2.5,6.4,51.3,2.5,31.125,51.3,51.3,138470,,
2009,January,2.9,9.5,53,2.5,30.875,50.3,50.3,156009,,
2009,February,3.6,10.7,60.3,2.5,33,55.3,55.3,115231,,
2009,March,3.1,7.9,87.3,2.5,31.25,53.8,53.8,140355,,
2009,April,3.9,8.7,68,5.5,32,65.4,65.4,234504,,
2009,May,3.7,14.1,145,3,35.125,106.0496644,106.0496644,333413,,
2009,June,2.6,11.2,92,4.125,35.625,125.4,117.2120805,428503,,
2009,July,2.5,8.6,56,2.75,28.375,55.2,55.2,193284,,
2009,August,2.4,11.4,52,2.625,31.375,48.6,48.6,121805,,
2009,September,2.7,11.2,50,3,35.625,61.8,61.8,188217,,
2009,October,3,13.1,59,2.5,36.75,90,90,122817,,
2009,November,3.1,14,56,3.5,28.25,58.4,58.4,99240,,
2009,December,4.6,18,67,3.5,38.75,70,70,150917,,
2010,January,2.6,14.9,57,3.875,34.5,67.4,60.7,172312,,
2010,February,3.9,15.1,60,3.125,27.75,60.7,60.7,161860,,
2010,March,4.1,14.4,68,3,34.75,51.2,51.2,188961,,
2010,April,4.2,17.1,81,3.125,36.25,64.7,64.7,363600,,
2010,May,3.7,18.8,79,2.5,33,62.6,62.6,369630,,
2010,June,3,15.3,78,2.5,34.875,82,82,408653,,
2010,July,2.6,18.2,52,2.5,31.125,67.9,67.9,192791,,
2010,August,3.5,16.2,57,2.5,29.625,46.8,46.8,134041,,
2010,September,3.5,16.5,34,2.5,32.75,59.5,59.5,199807,,
2010,October,3.7,16.8,52,4.25,28.125,55.2,55.2,135361,,
