Column1,Month,SO2,NO2,RSPM,AQI_SO2,AQI_NO2,AQI_RSPM,AQI,Tourism
2008,2008-01-01,3.9,14.4,,2.5,22.625,61.9,61.9,143134.0
2008,2008-02-01,2.6,11.0,89.0,2.5,27.125,68.7,68.7,108603.0
2008,2008-03-01,2.8,9.1,68.0,2.5,27.5,57.6,57.6,132531.0
2008,2008-04-01,5.0,8.9,62.0,2.5,30.625,68.7,68.7,198002.0
2008,2008-05-01,3.0,8.7,73.0,2.5,31.375,73.9,73.9,310513.0
2008,2008-06-01,2.9,11.7,65.0,2.5,31.125,68.9,68.9,414083.0
2008,2008-07-01,3.3,12.5,60.0,2.5,28.0,51.4,51.4,189874.0
2008,2008-08-01,2.8,8.7,57.0,2.5,29.375,41.8,41.8,120994.0
2008,2008-09-01,2.9,9.6,51.5,2.5,30.0,46.6,46.6,185733.0
2008,2008-10-01,2.8,12.4,62.0,2.5,31.875,53.9,53.9,125669.0
2008,2008-11-01,3.6,9.0,46.6,2.5,32.75,63.5,63.5,106850.0
2008,2008-12-01,2.5,6.4,51.3,2.5,31.125,51.3,51.3,138470.0
2009,2009-01-01,2.9,9.5,53.0,2.5,30.875,50.3,50.3,156009.0
2009,2009-02-01,3.6,10.7,60.3,2.5,33.0,55.3,55.3,115231.0
2009,2009-03-01,3.1,7.9,87.3,2.5,31.25,53.8,53.8,140355.0
2009,2009-04-01,3.9,8.7,68.0,5.5,32.0,65.4,65.4,234504.0
2009,2009-05-01,3.7,14.1,145.0,3.0,35.125,106.0496644,106.0496644,333413.0
2009,2009-06-01,2.6,11.2,92.0,4.125,35.625,125.4,117.2120805,428503.0
2009,2009-07-01,2.5,8.6,56.0,2.75,28.375,55.2,55.2,193284.0
2009,2009-08-01,2.4,11.4,52.0,2.625,31.375,48.6,48.6,121805.0
2009,2009-09-01,2.7,11.2,50.0,3.0,35.625,61.8,61.8,188217.0
2009,2009-10-01,3.0,13.1,59.0,2.5,36.75,90.0,90.0,122817.0
2009,2009-11-01,3.1,14.0,56.0,3.5,28.25,58.4,58.4,99240.0
2009,2009-12-01,4.6,18.0,67.0,3.5,38.75,70.0,70.0,150917.0
2010,2010-01-01,2.6,14.9,57.0,3.875,34.5,67.4,60.7,172312.0
2010,2010-02-01,3.9,15.1,60.0,3.125,27.75,60.7,60.7,161860.0
2010,2010-03-01,4.1,14.4,68.0,3.0,34.75,51.2,51.2,188961.0
2010,2010-04-01,4.2,17.1,81.0,3.125,36.25,64.7,64.7,363600.0
2010,2010-05-01,3.7,18.8,79.0,2.5,33.0,62.6,62.6,369630.0
2010,2010-06-01,3.0,15.3,78.0,2.5,34.875,82.0,82.0,408653.0
2010,2010-07-01,2.6,18.2,52.0,2.5,31.125,67.9,67.9,192791.0
2010,2010-08-01,3.5,16.2,57.0,2.5,29.625,46.8,46.8,134041.0
2010,2010-09-01,3.5,16.5,34.0,2.5,32.75,59.5,59.5,199807.0
2010,2010-10-01,3.7,16.8,52.0,4.25,28.125,55.2,55.2,135361.0
2010,2010-11-01,4.5,19.2,56.0,3.75,29.125,45.5,45.5,108520.0
2010,2010-12-01,3.6,18.7,46.0,2.625,29.625,41.4,41.4,177765.0
2011,2011-01-01,3.8,16.5,52.0,2.5,23.625,49.8,49.8,191790.0
2011,2011-02-01,3.0,16.6,54.0,2.5,28.75,59.4,59.4,181459.0
2011,2011-03-01,3.4,15.4,63.0,2.5,21.5,57.5,57.5,211635.0
2011,2011-04-01,2.0,14.4,68.0,2.5,6.125,33.5,33.5,408219.0
2011,2011-05-01,2.0,18.9,43.0,2.5,5.5,42.35,42.35,402197.0
2011,2011-06-01,2.0,16.7,76.0,2.5,5.625,36.5,36.5,444430.0
2011,2011-07-01,2.0,16.2,51.0,2.5,5.625,37.3,37.3,210207.0
2011,2011-08-01,2.0,15.7,37.0,2.5,5.625,17.8,17.8,236867.0
2011,2011-09-01,2.0,17.4,43.0,2.5,5.625,26.4,26.4,220631.0
2011,2011-10-01,2.0,17.5,59.0,2.5,5.625,50.0,50.0,167703.0
2011,2011-11-01,2.0,16.7,57.0,2.5,5.625,51.2,51.2,111232.0
2011,2011-12-01,2.0,17.9,49.0,2.5,5.625,43.3,43.3,166067.0
