Date,Cropland %,Forest %,Urban %
2008-01-01,6.3025,7.4472,71.2831
2008-02-01,6.2934,7.3843,71.2493
2008-03-01,6.2843,7.3213,71.2155
2008-04-01,6.2752,7.2584,71.1818
2008-05-01,6.2661,7.1954,71.148
2008-06-01,6.257,7.1325,71.1142
2008-07-01,6.2479,7.0696,71.0804
2008-08-01,6.2389,7.0066,71.0466
2008-09-01,6.2298,6.9437,71.0128
2008-10-01,6.2207,6.8807,70.979
2008-11-01,6.2116,6.8178,70.9453
2008-12-01,6.2025,6.7548,70.9115
2009-01-01,6.1934,6.6919,70.8777
2009-02-01,6.2798,6.6696,70.9141
2009-03-01,6.3661,6.6473,70.9505
2009-04-01,6.4525,6.625,70.9869
2009-05-01,6.5388,6.6028,71.0233
2009-06-01,6.6252,6.5805,71.0597
2009-07-01,6.7116,6.5582,71.096
2009-08-01,6.7979,6.5359,71.1324
2009-09-01,6.8843,6.5136,71.1688
2009-10-01,6.9706,6.4914,71.2052
2009-11-01,7.057,6.4691,71.2416
2009-12-01,7.1433,6.4468,71.278
2010-01-01,7.2297,6.4245,71.3144
2010-02-01,7.3022,6.4469,71.295
2010-03-01,7.3747,6.4693,71.2756
2010-04-01,7.4472,6.4917,71.2563
2010-05-01,7.5196,6.5141,71.2369
2010-06-01,7.5921,6.5365,71.2175
2010-07-01,7.6646,6.559,71.1981
2010-08-01,7.7371,6.5814,71.1787
2010-09-01,7.8096,6.6038,71.1593
2010-10-01,7.882,6.6262,71.14
2010-11-01,7.9545,6.6486,71.1206
2010-12-01,8.027,6.671,71.1012
2011-01-01,8.0995,6.6934,71.0818
2011-02-01,7.9798,6.6536,71.2323
2011-03-01,7.8602,6.6138,71.3829
2011-04-01,7.7405,6.574,71.5334
2011-05-01,7.6209,6.5341,71.6839
2011-06-01,7.5012,6.4943,71.8345
2011-07-01,7.3816,6.4545,71.985
2011-08-01,7.2619,6.4147,72.1355
2011-09-01,7.1422,6.3749,72.2861
2011-10-01,7.0226,6.335,72.4366
2011-11-01,6.9029,6.2952,72.5871
2011-12-01,6.7833,6.2554,72.7377
2012-01-01,6.6636,6.2156,72.8882
2012-02-01,6.7099,6.2833,73.0222
2012-03-01,6.7562,6.351,73.1562
2012-04-01,6.8026,6.4186,73.2902
2012-05-01,6.8489,6.4863,73.4242
2012-06-01,6.8952,6.554,73.5582
2012-07-01,6.9416,6.6216,73.6922
2012-08-01,6.9879,6.6893,73.8262
2012-09-01,7.0342,6.757,73.9602
2012-10-01,7.0805,6.8247,74.0942
