time,lat,lon,length_scale,dtime,satze,sataz,solze,solaz,lst,lst_uncertainty,n,qual_flag,lst_time_correction,lst_unc_time_correction,year,month,Total Tourists footfall
01-01-2004,31.125,77.125,0,46537.16797,52.87,25.13,95.79,99.829994,281.74,0.44400004,20,0,0.06,0.402,2004,1,12661.26728
01-01-2004,31.125,77.375,0,46538.35156,52.86,27.01,95.579994,99.96,279.53,0.432,20,0,0.06,0.59000003,2004,1,12661.26728
01-02-2004,31.125,77.125,0,46574.22266,52.809998,29.609999,88.439995,90.09,286.66,0.48400003,18,0,0.11,0.416,2004,2,10129.01383
01-02-2004,31.125,77.375,0,46470.21484,52.82,41.23,88.659996,90.09,284.38998,0.483,17,0,0.07,0.632,2004,2,10129.01383
01-03-2004,31.125,77.125,0,46485.0625,52.86,33.579998,81.979996,80.38,294.94998,0.492,19,0,0.04,0.497,2004,3,8862.887098
01-03-2004,31.125,77.375,0,46482.97266,52.86,16.43,81.77,80.5,292.61,0.49400002,19,0,0.08,0.513,2004,3,8862.887098
01-04-2004,31.125,77.125,0,46546.32422,52.91,40.23,78.38,73.06,299.66998,0.53300005,17,0,0.06,0.67600006,2004,4,7596.76037
01-04-2004,31.125,77.375,0,46432.83203,52.92,53.14,78.52,72.79,296.8,0.545,16,0,0.04,0.62200004,2004,4,7596.76037
01-05-2004,31.125,77.125,0,46574.88281,52.879997,27.34,78.75,69.619995,300.66998,0.528,18,0,0.06,0.84300005,2004,5,6330.633641
01-05-2004,31.125,77.375,0,46569.94922,52.879997,29.039999,78.58,69.72,297.78998,0.51100004,18,0,0.049999997,0.75900006,2004,5,6330.633641
01-06-2004,31.125,77.125,0,46796.32813,52.809998,3.7099998,81.43,72.81,300.78,0.55200005,17,0,0.13,0.90800005,2004,6,5064.506913
01-06-2004,31.125,77.375,0,46690.63281,52.809998,11.71,81.65,72.799995,297.02,0.513,18,0,0.07,0.78300005,2004,6,5064.506913
01-07-2004,31.125,77.125,0,46489.47266,52.84,49.93,86.08,79.88,299.8,0.508,19,0,0,0.59400004,2004,7,5064.506913
01-07-2004,31.125,77.375,0,46381.17578,52.85,62.039997,86.32,79.979996,298.49,0.53000003,18,0,0,0.6,2004,7,5064.506913
01-08-2004,31.125,77.125,0,46715.51563,52.899998,17.869999,88.82,91.659996,296.1,0.48800004,19,0,0.01,0.41200003,2004,8,6330.633641
01-08-2004,31.125,77.375,0,46612.65234,52.899998,28.199999,88.92,91.4,294.37,0.50600004,18,0,0.01,0.47300002,2004,8,6330.633641
01-09-2004,31.125,77.125,0,46826.96484,52.879997,11.99,91.85,102.439995,296.5,0.503,18,0,0.06,0.41200003,2004,9,7596.76037
01-09-2004,31.125,77.375,0,46827.62109,52.879997,13.799999,91.64,102.57,294.38998,0.50600004,18,0,0.089999996,0.439,2004,9,7596.76037
01-10-2004,31.125,77.125,0,46470.08203,52.829998,70.939995,96.869995,109.229996,291.41,0.47100002,20,0,0.04,0.39000002,2004,10,11395.14055
01-10-2004,31.125,77.375,0,46467.30469,52.829998,54.649998,96.659996,109.35,289.27,0.46500003,20,0,0.04,0.425,2004,10,11395.14055
01-11-2004,31.125,77.125,0,46958.42188,52.829998,-5.2799997,98.229996,112.13,287.96,0.52000004,16,0,0.089999996,0.423,2004,11,13927.39401
01-11-2004,31.125,77.375,0,46735.57031,52.829998,9.9,98.84,111.75,286.28998,0.47400004,18,0,0.06,0.46800002,2004,11,13927.39401
01-12-2004,31.125,77.125,0,46770.03125,52.899998,48.59,98.869995,107.95,285.99,0.47700003,18,0,-0.01,0.42600003,2004,12,15193.52074
01-12-2004,31.125,77.375,0,46663.64844,52.899998,40.149998,98.99,107.7,284.32,0.48000002,17,0,0.26,0.52400005,2004,12,15193.52074
01-01-2004,31.125,77.125,0,6009.197754,52.829998,8.429999,105.32,-94.14,277.71,0.45100003,19,0,-0.57,0.397,2004,1,12661.26728
01-01-2004,31.125,77.375,0,5913.782715,52.829998,9.34,105.22,-94.28,275.24,0.439,20,0,-0.72999996,0.591,2004,1,12661.26728
